Embedder,Top-k,Recall@k (%),R-Prec (%),Mean retrieval time (s)
MiniLM-L6,5,94.39999999999999,67.05238095238096,0.014809608459472656
MiniLM-L6,10,96.6,67.21904761904761,0.015032626628875733
Nomic-v1.5,5,60.0,30.585714285714282,2.0967434387207033
Nomic-v1.5,10,65.2,30.61428571428571,2.096635588169098
QwenEmb-4B,5,96.8,68.45714285714286,2.2845124740600586
QwenEmb-4B,10,98.0,68.52380952380952,2.282349775314331
