embedder,embedder_label,top_k,n,recall_at_k,r_precision,retrieve_time_s
all-MiniLM-L6-v2,MiniLM-L6,5,500,0.944,0.6705238095238095,0.014809608459472656
all-MiniLM-L6-v2,MiniLM-L6,10,500,0.966,0.6721904761904761,0.015032626628875733
nomic-embed-text:v1.5,Nomic-v1.5,5,500,0.6,0.3058571428571428,2.0967434387207033
nomic-embed-text:v1.5,Nomic-v1.5,10,500,0.652,0.3061428571428571,2.096635588169098
qwen3-embedding:4b,QwenEmb-4B,5,500,0.968,0.6845714285714286,2.2845124740600586
qwen3-embedding:4b,QwenEmb-4B,10,500,0.98,0.6852380952380952,2.282349775314331
