generator,generator_label,n,em,f1,total_time_s,fail_rate
gemma3:12b,Gemma3:12B,500,0.21,0.35483526115366265,2.6834224219322205,0.0
lfm2.5-thinking:1.2b,LFM2.5:1.2B,500,0.03,0.1226878348918092,4.844360589981079,0.0
qwen3:14b,Qwen3:14B,500,0.018,0.14054108156622297,10.426542209625245,0.008
qwen3:4b,Qwen3:4B,500,0.078,0.19945664974471905,8.794661662578584,0.002
