Generator,P2 gSAS-hit k = 10,P3 gSAS-hit k = 10
LFM2.5:1.2B,0.6147370760403573,0.613684478001669
Qwen3:4B,0.6198277789054211,0.5692555258640336
Gemma3:12B,0.5253669760469347,0.47846076981164515
Qwen3:14B,0.4456327605850426,0.4460650558673566
