Embedder,Top-k,Recall@k (%),R-Prec (%),Mean retrieval time (s)
MiniLM-L6,10,95.6,68.30333333333333,0.030279541015625
QwenEmb-4B,10,95.6,68.34142857142858,2.2964727902412414
