Generator,P2 gF1-hit k = 10,P3 gF1-hit k = 10
LFM2.5:1.2B,0.12294432804488145,0.09282210932908701
Qwen3:4B,0.5359762188181918,0.4839563585604364
Gemma3:12B,0.45759462808445683,0.4142631357530508
Qwen3:14B,0.26730169287239625,0.2565492012599453
