Generator,P1 F1,P2 F1 k = 10,P3 F1 k = 10
LFM2.5:1.2B,0.1226878348918092,0.12297738589612112,0.0930952739492852
Qwen3:4B,0.19945664974471905,0.5359762188181918,0.4839563585604364
Gemma3:12B,0.35483526115366265,0.45759462808445683,0.4179629715494383
Qwen3:14B,0.14054108156622297,0.2677227455039751,0.2565492012599453
