Generator,P2 gF1-all k = 10,P3 gF1-all k = 10
LFM2.5:1.2B,0.09719192521399996,0.06462435738454268
Qwen3:4B,0.37364873574342844,0.2991905030223467
Gemma3:12B,0.3065532662341599,0.2558772068805355
Qwen3:14B,0.18225562534621664,0.16576729640092794
