Generator,P2 gSAS-all k = 10,P3 gSAS-all k = 10
LFM2.5:1.2B,0.4233982751108706,0.3785645865499973
Qwen3:4B,0.43196949347263885,0.35224360428780377
Gemma3:12B,0.3585431028790772,0.2940862665884197
Qwen3:14B,0.3095918326321989,0.28972758180386715
