Generator,P1 EM,P2 EM k = 10,P3 EM k = 10
LFM2.5:1.2B,0.03,0.062,0.046
Qwen3:4B,0.078,0.392,0.358
Gemma3:12B,0.21,0.248,0.218
Qwen3:14B,0.018,0.054,0.054
