Generator,P2 gEM-hit k = 10,P3 gEM-hit k = 10
LFM2.5:1.2B,0.062,0.046
Qwen3:4B,0.392,0.358
Gemma3:12B,0.248,0.216
Qwen3:14B,0.054,0.054
