embedder,embedder_label,top_k,n,recall_at_k,r_precision,retrieve_time_s
all-MiniLM-L6-v2,MiniLM-L6,10,500,0.956,0.6830333333333333,0.030279541015625
qwen3-embedding:4b,QwenEmb-4B,10,500,0.956,0.6834142857142858,2.2964727902412414
