Generator,P1 SAS,P2 SAS k = 10,P3 SAS k = 10
LFM2.5:1.2B,0.2872388741932809,0.6249213159624487,0.6381698218043893
Qwen3:4B,0.3705349908115152,0.6205507195302713,0.5702515269997334
Gemma3:12B,0.42923363619856536,0.5259193611647933,0.4839951148852706
Qwen3:14B,0.38499590330156347,0.44790205637551844,0.4466873566871659
